name,team,sport,league,indices
Ben Winterburn,Bournemouth,Football,EPL,"[57, 24163]"
Carlos Vinícius,Fulham,Football,EPL,"[60, 24325]"
Pablo Sarabia,Wolves,Football,EPL,"[80, 24638]"
J. Matip,Liverpool,Football,EPL,"[100, 1960]"
Thiago Alcântara,Liverpool,Football,EPL,"[101, 1961]"
Diogo Jota,Liverpool,Football,EPL,"[102, 1962, 24414]"
C. Ramsay,Liverpool,Football,EPL,"[103, 1963]"
Thomas Daniel Hill,Liverpool,Football,EPL,"[104, 1964]"
James Barry Norris,Liverpool,Football,EPL,"[105, 1965]"
O. Beck,Liverpool,Football,EPL,"[106, 1966]"
V. Jaroš,Liverpool,Football,EPL,"[107, 1967]"
H. Davies,Liverpool,Football,EPL,"[108, 1968]"
James Balagizi,Liverpool,Football,EPL,"[109, 1969]"
Mateusz Konrad Musiałowski,Liverpool,Football,EPL,"[110, 1970]"
L. Chambers,Liverpool,Football,EPL,"[111, 1971]"
Kaide Gordon,Liverpool,Football,EPL,"[112, 1972]"
J. McConnell,Liverpool,Football,EPL,"[113, 1973]"
Fabian Mrozek,Liverpool,Football,EPL,"[114, 1974]"
C. Scanlon,Liverpool,Football,EPL,"[115, 1975]"
Stefan Bajčetić,Liverpool,Football,EPL,"[116, 1976]"
B. Clark,Liverpool,Football,EPL,"[117, 1977]"
Trent Toure Kone Doherty,Liverpool,Football,EPL,"[118, 1978]"
R. Young,Liverpool,Football,EPL,"[119, 1979]"
Juan Larios,Southampton,Football,EPL,"[135, 24549]"
T. Partey,Arsenal,Football,EPL,"[140, 1980]"
Cédric Soares,Arsenal,Football,EPL,"[141, 1981]"
Mohamed Elneny,Arsenal,Football,EPL,"[142, 1982]"
Jorginho,Arsenal,Football,EPL,"[143, 1983, 24118]"
T. Tomiyasu,Arsenal,Football,EPL,"[144, 1984]"
Nuno Tavares,Arsenal,Football,EPL,"[145, 1985]"
N. Butler-Oyedeji,Arsenal,Football,EPL,"[146, 1986]"
O. Rekik,Arsenal,Football,EPL,"[147, 1987]"
S. Oulad M&apos;Hand,Arsenal,Football,EPL,"[148, 1988]"
M. Biereth,Arsenal,Football,EPL,"[149, 1989]"
Jack Henry-Francis,Arsenal,Football,EPL,"[150, 1990]"
James Lannin-Sweet,Arsenal,Football,EPL,"[151, 1991]"
Mauro Bandeira,Arsenal,Football,EPL,"[152, 1992]"
