name,team,sport,league,local_path
S. Amrabat,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\s_amrabat.png
Reguilón,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\reguilon.png
R. Varane,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\r_varane.png
M. Greenwood,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\m_greenwood.png
A. Martial,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\a_martial.png
W. Fish,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\w_fish.png
J. Hugill,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\j_hugill.png
O. Forson,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\o_forson.png
Ethan Ennis,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\ethan_ennis.png
R. Bennett,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\r_bennett.png
S. Murray,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\s_murray.png
H. Graczyk,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\h_graczyk.png
M. Oyedele,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\m_oyedele.png
Samuel Mather,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\samuel_mather.png
Sonny Aljofree,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\sonny_aljofree.png
Ethan Williams,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\ethan_williams.png
Shea Lacey,Manchester United,Football,EPL,static\logos\players\soccer\manchester_united\shea_lacey.png
L. Karius,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\l_karius.png
R. Fraser,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\r_fraser.png
P. Dummett,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\p_dummett.png
I. Hayden,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\i_hayden.png
M. Ritchie,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\m_ritchie.png
K. Watts,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\k_watts.png
E. Anderson,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\e_anderson.png
M. Ndiweni,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\m_ndiweni.png
J. Turner-Cooke,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\j_turnercooke.png
Jamie Miley,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\jamie_miley.png
Ciaran Thompson,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\ciaran_thompson.png
Cathal Heffernan,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\cathal_heffernan.png
Ellis Stanton,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\ellis_stanton.png
J. Emerson,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\j_emerson.png
Dylan Charlton,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\dylan_charlton.png
Aidan Harris,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\aidan_harris.png
A. Munda,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\a_munda.png
Alfie Harrison,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\alfie_harrison.png
Y. Minteh,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\y_minteh.png
A. Harrison,Newcastle,Football,EPL,static\logos\players\soccer\newcastle\a_harrison.png
J. Kluivert,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\j_kluivert.png
R. Fredericks,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\r_fredericks.png
M. Aarons,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\m_aarons.png
D. Randolph,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\d_randolph.png
L. Kelly,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\l_kelly.png
E. Marcondes,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\e_marcondes.png
J. Rothwell,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\j_rothwell.png
K. Moore,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\k_moore.png
I. Radu,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\i_radu.png
A. Paulsen,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\a_paulsen.png
G. Kilkenny,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\g_kilkenny.png
D. Ouattara,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\d_ouattara.png
D. Sadi,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\d_sadi.png
D. Huijsen,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\d_huijsen.png
D. Adu-Adjei,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\d_aduadjei.png
C. Plain,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\c_plain.png
M. Kinsey-Wellings,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\m_kinseywellings.png
Ben Winterburn,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\ben_winterburn.png
Remy Rees-Dottin,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\remy_reesdottin.png
Archie Harris,Bournemouth,Football,EPL,static\logos\players\soccer\bournemouth\archie_harris.png
F. Ballo-Touré,Fulham,Football,EPL,static\logos\players\soccer\fulham\f_ballotouré.png
K. Mbabu,Fulham,Football,EPL,static\logos\players\soccer\fulham\k_mbabu.png
S. Berge,Fulham,Football,EPL,static\logos\players\soccer\fulham\s_berge.png
R. Jiménez,Fulham,Football,EPL,static\logos\players\soccer\fulham\r_jiménez.png
B. De Cordova-Reid,Fulham,Football,EPL,static\logos\players\soccer\fulham\b_de_cordovareid.png
T. Kongolo,Fulham,Football,EPL,static\logos\players\soccer\fulham\t_kongolo.png
T. Adarabioyo,Fulham,Football,EPL,static\logos\players\soccer\fulham\t_adarabioyo.png
M. Rodák,Fulham,Football,EPL,static\logos\players\soccer\fulham\m_rodák.png
João Palhinha,Fulham,Football,EPL,static\logos\players\soccer\fulham\joão_palhinha.png
K. Bowie,Fulham,Football,EPL,static\logos\players\soccer\fulham\k_bowie.png
L. Ashby-Hammond,Fulham,Football,EPL,static\logos\players\soccer\fulham\l_ashbyhammond.png
A. Broja,Fulham,Football,EPL,static\logos\players\soccer\fulham\a_broja.png
G. Wickens,Fulham,Football,EPL,static\logos\players\soccer\fulham\g_wickens.png
M. Dibley-Dias,Fulham,Football,EPL,static\logos\players\soccer\fulham\m_dibleydias.png
Alexander Paul Borto,Fulham,Football,EPL,static\logos\players\soccer\fulham\alexander_paul_borto.png
Devan Austin Tanton Pedraza,Fulham,Football,EPL,static\logos\players\soccer\fulham\devan_austin_tanton_pedraza.png
L. De Fougerolles,Fulham,Football,EPL,static\logos\players\soccer\fulham\l_de_fougerolles.png
K. Šekularac,Fulham,Football,EPL,static\logos\players\soccer\fulham\k_sekularac.png
S. Amissah,Fulham,Football,EPL,static\logos\players\soccer\fulham\s_amissah.png
M. Kilman,Wolves,Football,EPL,static\logos\players\soccer\wolves\m_kilman.png
C. Dawson,Wolves,Football,EPL,static\logos\players\soccer\wolves\c_dawson.png
L. Moulden,Wolves,Football,EPL,static\logos\players\soccer\wolves\l_moulden.png
C. Campbell,Wolves,Football,EPL,static\logos\players\soccer\wolves\c_campbell.png
Chiquinho,Wolves,Football,EPL,static\logos\players\soccer\wolves\chiquinho.png
