League,Team,Player,URL
ATP,ATP,,
Bundesliga,Augsburg,,
Bundesliga,Bayer Leverkusen,,
Bundesliga,Bayern Munich,,
Bundesliga,Bochum,,
Bundesliga,Borussia Dortmund,Artur Płatek,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Robert Kovač Filip Tapalović,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Thorben Voeste,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Serdar Ayar,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Matthias Sammer,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Norbert Dickel,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Suresh Letchmanan,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Olaf Wehmer,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Florian Wangler,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Matthias Kleinsteiber,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Athletic department,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Ingo Preuß,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Shad Forsythe,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Sebastian Kehl,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Frank Gräfen,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Mathias Kolodziej,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Karl-Heinz Riedle,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Waldemar Wrobel,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Sigfried Held,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Lars Ricken,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Organisation & management,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Benjamin Frank,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Jan Heidermann,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Medical department,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Dr. Markus Braun,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Wolfgang Springer,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Patrick Owomoyela,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Scouting & recruitment,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Dennis Morschel,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Dr. Philipp Laux,https://en.wikipedia.org/wiki/Borussia_Dortmund
Bundesliga,Borussia Dortmund,Niko Kovač,https://en.wikipedia.org/wiki/Borussia_Dortmund
